;Date;Type;Country;Injury
383;26-Jul-2015;Unprovoked;USA;Minor injury to sole of foot
384;26-Jul-2015;Invalid;USA;2' cut to dorsum of foot, 2 puncture wounds to sole
385;25-Jul-2015;Unprovoked;AUSTRALIA;FATAL
386;23-Jul-2015;Provoked;USA;No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT
387;23-Jul-2015;Unprovoked;AUSTRALIA;Left hand bitten
388;22-Jul-2015;Unprovoked;REUNION;Arm bitten
389;19-Jul-2015;Unprovoked;SOUTH AFRICA;No injury
390;10-Jul-2015;Unprovoked;USA;No injury, shark bumped & damaged board
391;08-Jul-2015;Invalid;USA;Laceration to back
392;06-Jul-2015;Invalid;FRENCH POLYNESIA;Parallel lacerations to torso inconsistent with shark bite
393;04-Jul-2015;Unprovoked;BAHAMAS;Lacerations to lower leg & ankle
394;04-Jul-2015;Unprovoked;USA;Lacerations to right hand & forearm
395;03-Jul-2015;Unprovoked;AUSTRALIA;No injury, shark bit surfboard
396;02-Jul-2015;Unprovoked;AUSTRALIA;Significant injuries to lower legs
397;01-Jul-2015;Unprovoked;USA;Injuries to torso, hip, lower leg & hands
398;30-Jun-2015;Unprovoked;AUSTRALIA;Hand bitten
399;30-Jun-2015;Unprovoked;USA;Shallow lacerations & puncture to lateral left leg
400;27-Jun-2015;Unprovoked;USA;Injuries to right calf, buttock and both hands
401;27-Jun-2015;Unprovoked;SOUTH AFRICA;Right leg severed, multiple lacerations to left leg
402;26-Jun-2015;Invalid;USA;Minor lacerations to leg
403;26-Jun-2015;Unprovoked;SOUTH AFRICA;Multiple lacerations to torso & leg
404;26-Jun-2015;Unprovoked;USA;Puncture wounds to foot
405;Reported 25-Jun-2015;Provoked;AUSTRALIA;Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT
406;25-Jun-2015;Unprovoked;USA;Multiple lacerations to back
407;24-Jun-2015;Unprovoked;USA;Minor injury to foot
408;24-Jun-2015;Invalid;AUSTRALIA;Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force
409;23-Jun-2015;Unprovoked;USA;Minor injury to calf 
410;19-Jun-2015;Unprovoked;PUERTO RICO;Injury to hand
411;17-Jun-2015;Unprovoked;USA;Minor injury to calf 
412;14-Jun-2015;Unprovoked;USA;Arm amputated below shoulder
413;14-Jun-2015;Unprovoked;USA;Left arm amputated at elbow & severe injury to leg
414;13-Jun-2015;Unprovoked;USA;Severe laceration to leg
415;11-Jun-2015;Unprovoked;USA;Minor lacerations to foot
416;07-Jun-2015;Unprovoked;USA;Lacerations to right calf
417;05-Jun-2015;Unprovoked;USA;Puncture wound to finger
418;01-Jun-2015;Unprovoked;REUNION;Left forearm bitten
419;29-May-2015;Unprovoked;USA;Left foot bitten
420;29-May-2015;Unprovoked;USA;Minor lacerations to dorsum of right foot
421;25-May-2015;Unprovoked;FRENCH POLYNESIA;Lacerations to right forearm
422;24-May-2015;Unprovoked;USA;Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon
423;20-May2015;Unprovoked;USA;2 puncture wounds to  dorsum of left foot
424;15-May-2015;Unprovoked;USA;Laceration to foot 
425;09-May-2015;Unprovoked;NEW CALEDONIA;FATAL
426;07-May-2015;Unprovoked;USA;Lacerations to lower left leg, ankle & foot
427;03-May-2015;Unprovoked;AUSTRALIA;Injuries to left arm & right hand
428;02-May-2015;Unprovoked;SOUTH AFRICA;Injuries to leg, left arm & both hands
429;29-Apr-2015;Unprovoked;USA;FATAL
430;26-Apr-2015;Unprovoked;USA;Lacerations to left calf
431;25-Apr-2015;Unprovoked;AUSTRALIA;Leg severed at mid-thigh
432;24-Jun-2015;Unprovoked;AUSTRALIA;No injury, knocked off ski
433;13-Apr-2015;Unprovoked;USA;Lacerations to shoulder and left bicep
434;12-Apr-2015;Unprovoked;REUNION;FATAL
435;11-Apr-2015;Unprovoked;AUSTRALIA;Ankle injured
436;03-Apr-2015;Unprovoked;USA;Injuries to head & torso
437;29-Mar-2015;Invalid;ITALY;FATAL, but shark involvement prior to death unconfirmed
438;31-Mar-2015;Invalid;BRAZIL;"Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite"
439;26-Mar-2015;Boating;SOUTH AFRICA;No injury but kayak bitten
440;21-Mar-2015;Unprovoked;EGYPT;FATAL
441;18-Mar-2015;Unprovoked;USA;Lacerations to left forearm. Lacerations to left hand and thigh
442;16-Mar-2015;Unprovoked;FRENCH POLYNESIA;Hand bitten
443;11-Mar-2015;Boating;AUSTRALIA;Bruised in falling overboard as shark bumped boat
444;10-Mar-2015;Provoked;MEXICO;Right hand bitten by hooked shark PROVOKED INCIDENT
445;07-Mar-2015;Unprovoked;FRENCH POLYNESIA;Thigh bitten
446;15-Feb-2015;Boating;ATLANTIC OCEAN;No injury, shark bit rudder
447;14-Feb-2015;Unprovoked;REUNION;FATAL
448;09-Feb-2015;Unprovoked;AUSTRALIA;FATAL
449;08-Feb-2015;Unprovoked;AUSTRALIA;Laceration & puncture wounds to right flank & hip
450;05-Feb-2015;Unprovoked;AUSTRALIA;5 minor puncture wounds to lower left leg
451;30-Jan-2015;Boating;AUSTRALIA;No injury, shark's teeth scratched hull
452;27-Jan-2015;Provoked;USA;Lacerations to calf by hooked shark PROVOKED INCIDENT
453;24-Jan-2015;Unprovoked;AUSTRALIA;No injury, surfboard dented
454;23-Jan-2015;Unprovoked;SOUTH AFRICA;Foot bitten
455;19-Jan-2015;Boating;USA;No injury but shark bit trolling motor & rammed boat
456;19-Jan-2015;Invalid;AUSTRALIA;Board snapped in two
457;17-Jan-2015;Boating;AUSTRALIA;Shark bumped boat, no injury to occupants
458;16-Jan-2015;Unprovoked;AUSTRALIA;Bitten on hand & wrist
459;08-Jan-2015;Invalid;USA;During his 16-hour swim to shore, he was circled by a shark but it did not injure him
460;06-Jan-2015;Unprovoked;BAHAMAS;Severe bite to right flank
461;03-Jan-2015;Unprovoked;SOUTH AFRICA;Lacerations to lower left leg, puncture wounds to sole of left foot
462;01-Jan-2015;Unprovoked;USA;Leg bitten
463;29-Dec-2014;Unprovoked;AUSTRALIA;Lacerations to both feet
464;29-Dec-2014;Unprovoked;AUSTRALIA;FATAL
465;28-Dec-2014;Sea Disaster;GREECE;Of 9 bodies recovered, one was bitten by a shark
466;28-Dec-2014;Invalid;SOUTH AFRICA;Minor cuts on feet
467;28-Dec-2014;Unprovoked;USA;Injury to hip/leg
468;28-Dec-2014;Provoked;AUSTRALIA;Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT
469;Reported 23-Dec-2014;Unprovoked;JAPAN;No injury, shark snagged its teeth in diver's suit
470;15-Dec-2014;Unprovoked;AUSTRALIA;FATAL
471;Reported 03-Dec-2014;Provoked;SPAIN;Glancing bite to wrist from netted shark PROVOKED INCIDENT
472;29-Nov-2014;Unprovoked;AUSTRALIA;Minor injuries to right leg
473;20-Nov-2014;Provoked;MAURITIUS;FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT
474;19-Nov-2014;Boating;AUSTRALIA;Shark chasing fish bumped boat, no injury to occupants
475;Reported 17-Nov-2014;Boating;USA;Shark bumped boat, no injury to occupants
476;16-Nov-2014;Unprovoked;USA;Laceration to left hand
477;13-Nov-2014;Unprovoked;USA;Laceration to left upper leg
478;10-Nov-2014;Unprovoked;AUSTRALIA;Minor injury to lower leg and foot
479;08-Nov-2014;Unprovoked;USA;Minor injuries to hand & arm 
480;31-Oct-2014;Unprovoked;USA;Lacerations to fingers
481;29-Oct-2014;Provoked;AUSTRALIA;Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT
482;22-Oct-2014;Unprovoked;USA;No injury, paddleboard bitten
483;20-Oct-2014;Unprovoked;USA;No injury, paddleboard bitten
484;19-Oct-2014;Boating;USA;No injury to occupant, canoe bitten
485;18-Oct-2014;Unprovoked;USA;No injury, surfboard bitten
486;17-Oct-2014;Unprovoked;AUSTRALIA;Lacerations to left calf & ankle, puncture wounds to left foot
487;14-Oct-2014;Unprovoked;USA;Lacerations to left foot
488;12-Oct-2014;Unprovoked;USA;Laceration to right hand/wrist
489;11-Oct-2014;Boating;AUSTRALIA;Kayak deflated, no injury to occupants
490;05-Oct-2014;Unprovoked;USA;Foot bitten
491;07-Oct-2014;Unprovoked;USA;Thigh bitten
492;05-Oct-2014;Unprovoked;USA;Foot bitten
493;03-Oct-2014;Boating;USA;No injury to occupant, shark/s holded  kayak
494;03-Oct-2014;Boating;USA;No injury to occupant, shark/s holded  kayak
495;02-Oct-2014;Unprovoked;USA;Lacerations to knee
496;02-Oct-2014;Unprovoked;AUSTRALIA;Left arm & right hand severed, lacerations to both legs
497;21-Sep-2014;Unprovoked;USA;Minor injury to left foot
498;Reported 12-Sep-2014;Unprovoked;FRENCH POLYNESIA;Thumb & finger nipped
499;13-Sep-2014;Invalid;USA;A hoax, no shark involvement
500;09-Sep-2014;Unprovoked;AUSTRALIA;FATAL
501;06-Sep-2014;Unprovoked;USA;Leg bitten
502;03-Sep-2014;Boating;USA;No injury, shark bit kayak
503;02-Sep-2014;Provoked;USA;Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT
504;Sep-2014;Unprovoked;SPAIN;Lacerations to right hand
505;31-Aug-2014;Unprovoked;USA;Injury to left calf
506;29-Aug-2014;Unprovoked;USA;Lacerations to shin
507;29-Aug-2014;Invalid;USA;Shark involvement not confirmed
508;28-Aug-2014;Provoked;USA;Lacerations to foot by hooked shark PROVOKED INCIDENT
509;27-Aug-2014;Unprovoked;SPAIN;Minor lacerations to posterior lower leg
510;27-Aug-2014;Unprovoked;USA;Laceration to left hand
511;27-Aug-2014;Unprovoked;USA;Heel bitten
512;Reported 25-Aug-2014;Provoked;USA;Lacerations to forearm from hooked shark PROVOKED INCIDENT
513;24-Aug-2014;Unprovoked;USA;Laceration to left foot
514;16-Aug-2014;Unprovoked;AUSTRALIA;Lacerations to face and neck
515;12-Aug-2014;Unprovoked;USA;Puncture wounds and lacerations to left thigh and knee
516;10-Aug-2014;Unprovoked;USA;Puncture wounds & lacerations to foot
517;09-Aug-2014;Unprovoked;BAHAMAS;Puncture wounds to right foot and ankle
518;09-Aug-2014;Unprovoked;USA;Puncture wounds to right foot & ankle
519;08-Aug-2014;Unprovoked;USA;Minor lacerations to left heel and big toe
520;06-Aug-2014;Unprovoked;USA;Lacerations to right leg & foot
521;05-Aug-2014;Unprovoked;USA;Lacerations to  foot
522;02-Aug-2014;Unprovoked;USA;Foot bitten
523;02-Aug-2014;Unprovoked;USA;Laceration to ankle
524;01-Aug-2014;Unprovoked;SOUTH AFRICA;Lower limbs & thigh bitten
526;27-Jul-2014;Unprovoked;USA;Left foot bitten
527;22-Jul-2014;Unprovoked;REUNION;Lacerations to right wrist & calf
528;21-Jul-2014;Unprovoked;USA;Lacerations to right knee
529;20-Jul-2014;Unprovoked;SPAIN;Minor injury
530;16-Jul-2014;Unprovoked;USA;Lacerations to left foot
531;14-Jul-2014;Unprovoked;USA;Puncture wounds to foot
532;13-Jul-2014;Invalid;BAHAMAS;Missing after a dive, shark involvement considered probable, but not confirmed
533;12-Jul-2014;Unprovoked;USA;Lacerations to hand and wrist
534;9-Jul-2014;Unprovoked;USA;Lacerations to foot
535;5-Jul-2014;Provoked;USA;PROVOKED INCIDENT Torso bitten by shark hooked by an angler
536;5-Jul-2014;Unprovoked;USA;No injury, surboard bitten
537;3-Jul-2014;Unprovoked;USA;Right hand bitten
538;Reported 27-Jun-2014;Boat;ST. MARTIN;His boat was holed by a shark
539;25-Jun-2014;Unprovoked;BAHAMAS;No injury but shark took his pole spear
540;18-Jun-2014;Unprovoked;AUSTRALIA;No injury, surfboard 'attacked'
541;18-Jun-2014;Unprovoked;AUSTRALIA;Lacerations to knee
542;Reported 17-Jun-2014;Provoked;AUSTRALIA;Lacerations to right hand by captive shark PROVOKED INCIDENT
543;09-Jun-2014;Unprovoked;BRAZIL;Severe injury to arm
544;09-Jun-2014;Unprovoked;USA;Abrasion to right hand, lacerations to left forearm
545;09-Jun-2014;Unprovoked;AUSTRALIA;Minor injury to torso
546;08-Jun-2014;Unprovoked;JAPAN;Left arm bitten
547;07-Jun-2014;Unprovoked;USA;Shallow lacerations & puncture wounds below shoulder
548;01-Jun-2014;Unprovoked;USA;Laceration to right lower leg
549;01-Jun-2014;Unprovoked;AUSTRALIA;Lacerations & puncture wounds to ankle and foot
550;01-Jun-2014;Unprovoked;USA;Laceration to left hand
551;24-May-2014;Unprovoked;AUSTRALIA;Lacerations to legs
552;23-May-2014;Unprovoked;FRANCE;Lacerations to left thigh and hip
553;22-May-2014;Provoked;AUSTRALIA;Cut to tip of finger by a captive shark PROVOKED INCIDENT
554;15-May-2014;Unprovoked;USA;Calf bitten
555;14-May-2014;Unprovoked;AUSTRALIA;No injury, but surfboard severely damaged
556;13-May2014;Unprovoked;USA;Lacerations and puncture wounds to right foot
557;11-May-2014;Unprovoked;USA;Puncture wounds to right thigh
558;Reported 10-May-2014;Invalid;USA;No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear
559;06-May-2014;Unprovoked;USA;Lacerations to left foot
560;04-May-2014;Unprovoked;SOUTH AFRICA;4-inch laceration to arm
561;01-May-2014;Unprovoked;USA;Laceration to right hand and cuts on fingertips
562;24-Apr-2014;Unprovoked;AUSTRALIA;Minor injury
563;22-Apr-2014;Unprovoked;USA;Laceration & puncture wounds to right foot
564;15-Apr-2014;Unprovoked;USA;Minor lacerations to left foot
565;Reported 12-Apr-2014;Boat;SOUTH AFRICA;No injury to occupants, shark bit pontoon
566;12-Apr-2014;Provoked;SOUTH AFRICA;Lacerations to leg & hand by hooked shark PROVOKED INCIDENT
567;04-Apr-2014;Unprovoked;USA;Minor puncture wounds to lower left leg
568;04-Apr-2014;Unprovoked;USA;Lacerations to foot
569;03-Apr-2014;Unprovoked;AUSTRALIA;FATAL
570;29-Mar-2014;Invalid;AUSTRALIA;Shark bites may have been post mortem
571;22-Mar-2014;Unprovoked;SOUTH AFRICA;FATAL
572;22-Mar-2014;Unprovoked;USA;Lacerations to left forearm
573;21-Mar-2014;Unprovoked;USA;Lacerations to toes and heel of right foot
574;18-Mar-2014;Unprovoked;NEW CALEDONIA;Lacerations to calf
575;18-Mar-2014;Unprovoked;AUSTRALIA;"Shark leapt onto surfboard; surfer uninjured "
576;18-Mar-2014;Invalid;AUSTRALIA;Injuries to wrist/hand by a mackerel, not a shark
577;12-Mar-2014;Unprovoked;AUSTRALIA;Minor lacerations to foot
578;13-Mar-2014;Invalid;CAYMAN ISLANDS;Caribbean reef shark buzzed him. No injury, no attack. 
579;02-Mar-2014;Unprovoked;USA;Lacerations to toes
580;20-Feb-2014;Unprovoked;FRENCH POLYNESIA;Lacerations to lower leg
581;Reported 17-Feb-2014;Boating;PAPUA NEW GUINEA;No injury to occupants, hull bitten
582;08-Feb-2014;Unprovoked;AUSTRALIA;FATAL
583;07-Feb-2014;Provoked;TRINIDAD & TOBAGO;Possibly a PROVOKED INCIDENT
584;07-Feb-2014;Unprovoked;NEW ZEALAND;Lacerations to leg
585;26-Jan-2014;Provoked;AUSTRALIA;Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT
586;25-Jan-2014;Unprovoked;NEW ZEALAND;Minor injury to left lower leg & heel
587;04-Jan-2014;Sea Disaster;JAPAN;5 cm bite to left foot
588;2014;Unprovoked;USA;"""Minor laceration to shoulder"""
589;2014;Boating;NEW ZEALAND;No injury to occupants, shark nudged and bit boat
590;25-Dec-2013;Unprovoked;NEW CALEDONIA;Leg bitten
591;16-Dec-2013;Unprovoked;SOUTH AFRICA;Injuries to left thigh
592;13-Dec-2013;Unprovoked;KIRIBATI;Severe injury to arm
593;11-Dec-2013;Unprovoked;USA;Lacerations to right hand & knee
594;10-Dec-2013;Unprovoked;USA;Right foot bitten
595;05-Dec-2013;Unprovoked;AUSTRALIA;Puncture wounds to hand, laceration to leg
596;02-Dec-2013;Unprovoked;USA;FATAL
597;30-Nov-2013;Unprovoked;AUSTRALIA;FATAL
598;29-Nov2013;Unprovoked;USA;Right calf bitten
599;23-Nov-2013;Unprovoked;AUSTRALIA;FATAL
600;22-Nov-2013;Unprovoked;USA;No injury, board bitten
601;12-Nov-2013;Unprovoked;AUSTRALIA;No injury, board bumped by shark
602;10-Nov-2013;Provoked;BAHAMAS;Injuries to arm & leg by hooked shark   PROVOKED INCIDENT
603;07-Nov-2013;Unprovoked;USA;No injury, swim fin bitten
604;07-Nov-2013;Unprovoked;USA;Foot bitten
605;31-Oct-2013;Unprovoked;USA;Severe bite to right calf & anklel
606;28-Oct-2013;Unprovoked;AUSTRALIA;Lacerations to right arm
607;26-Oct-2013;Unprovoked;REUNION;Right leg severed
608;26-Oct-2013;Unprovoked;AUSTRALIA;No injury, swim fin shredded
609;24-Oct-2013;Unprovoked;AUSTRALIA;Injuries to right foot
610;23-Oct-2013;Unprovoked;USA;"3"" laceration to left hip"
611;20-Oct-2013;Unprovoked;USA;No injury, shark bit surfboard
612;19-Oct-2013;Unprovoked;USA;Bitten on left calf & foot
613;11-Oct-2013;Unprovoked;SOUTH AFRICA;FATAL
614;08-Oct-2013;Unprovoked;AUSTRALIA;Injuries to torso, head and face
615;06-Oct-2013;Unprovoked;USA;Laceration to thigh
616;10-Oct-2013;Unprovoked;USA;Lacerations to  right forearm
617;29-Sep-2013;Unprovoked;USA;Lacerations to hand
618;29-Sep-2013;Unprovoked;ISRAEL;Hand bitten 
619; 25-Sep-2013;Unprovoked;USA;Laceration and puncture wounds to ankle
620; 21-Sep-2013;Unprovoked;USA;Lacerations to right foot
621; 21-Sep-2013;Unprovoked;USA;Lacerations to left foream
622; 14-Sep-2013;Unprovoked;USA;Lacerations to right foot
623; 12-Sep-2013;Unprovoked;USA;Heel bitten
624;08-Sep-2013;Unprovoked;USA;No details
625; 07-Sep-2013;Provoked;USA;Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT
626; 07-Sep-2013;Unprovoked;USA;Minor injury, shin bitten
627; 02-Sep-2013;Unprovoked;USA;Shoulder bitten
628; 01-Sep-2013;Provoked;USA;Arm bitten by captive shark PROVOKED INCIDENT
629; 01-Sep-2013;Unprovoked;BAHAMAS;Leg injured
630; 01-Sep-2013;Unprovoked;USA;Lacerations to left calf
631;31-Aug-2013;Unprovoked;BAHAMAS;Lower left leg bitten
632;31-Aug-2013;Unprovoked;USA;Foot bitten
633;29-Aug-2013;Invalid;USA;Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish
634;26-Aug-2013;Provoked;FRANCE;Laceration to right arm from hooked shark  PROVOKED INCIDENT
635; 25-Aug-2013;Unprovoked;USA;Minor injury to left lower leg & heel
636; 25-Aug-2013;Unprovoked;AUSTRALIA;Lacerations to left forearm
637; 18-Aug-2013;Unprovoked;USA;Lacerations to buttocks & thigh
638;17-Aug-2013;Unprovoked;USA;No injury, shark bumped surfboard
639; 14-Aug-2013;Unprovoked;USA;FATAL
640; 13-Aug-2013;Unprovoked;USA;No injury & not on board. Board adrift when bitten by shark
641;11-Aug-2013;Unprovoked;USA;No injury, shark became entangled in his surfboard leash
642;Reported 08-Aug-2013;Unprovoked;SOUTH AFRICA;Unknown, but survived
643; 05-Aug-2013;Unprovoked;USA;Minor injury to foot & shin
644;  31-Jul-2013;Unprovoked;USA;Lacerations to hand, face and torso
645;  30-Jul-2013;Unprovoked;USA;Foot bitten
646;28-Jul-2013;Unprovoked;BAHAMAS;Leg bitten
647;  29-Jul-2013;Unprovoked;MEXICO;Hip bitten
648;  29-Jul-2013;Unprovoked;USA;Lower leg bitten
649;28-Jul-2013;Unprovoked;BAHAMAS;Bitten on left hand
650;28-Jul-2013;Unprovoked;BAHAMAS;Bitten on rear lower extremities
651;    22-Jul-2013;Unprovoked;BRAZIL;FATAL
652;19-Jul-2013;Unprovoked;USA;Lacerations and abrasions to foot and ankle
653;Reported 17-Jul-2013;Unprovoked;USA;4 cuts to posterior calf
654;15-Jul-2013;Unprovoked;REUNION;FATAL
655;14-Jul-2013;Unprovoked;DIEGO GARCIA;FATAL
656;11-Jul-2013;Unprovoked;USA;Right foot bitten
657;07-Jul-2013;Invalid;SPAIN;Scrape to right forearm. Frennet says inflicted by a blue shark, but authorities question shark involvement
658;02-Jul-2013;Unprovoked;AUSTRALIA;No injury, holes in wetsuit 
659;30-Jun-2013;Unprovoked;TAIWAN;Right thigh bitten
660;27-Jun-2013;Invalid;JAMAICA;Probable drowning with post-mortem bites
661;25-Jun-2013;Boating;USA;No injury, kayak scratched
662;25-Jun-2013;Unprovoked;USA;Lacerations to left foot
663;25-Jun-2013;Unprovoked;USA;Bitten on lower right leg, reported as a minor injury
664;18-Jun-2013;Unprovoked;USA;Right thigh & calf bitten
665;17-Jun-2013;Unprovoked;USA;Left leg & hand bitten
666;16-Jun-2013;Unprovoked;SOUTH AFRICA;Lacerations to knee
667;15-Jun-2013;Unprovoked;USA;Lacerations to left ankle
668;Reported 14-Jun-2013;Unprovoked;USA;Puncture marks to hand
669;06-Jun-2013;Provoked;USA;Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT
670;06-Jun-2013;Unprovoked;AUSTRALIA;No injury, board damaged
671;27-May-2013;Unprovoked;USA;Lacerations to right hand
672;27-May-2013;Unprovoked;USA;Right foot bitten
673;23-May-2013;Unprovoked;BRAZIL;FATAL
674;23-May-2013;Provoked;PALESTINIAN TERRITORIES;Two fingers lost PROVOKED INCIDENT
675;14-May-2014;Unprovoked;ECUADOR;Superficial injury to left calf
676;08-May-2013;Invalid;USA;Shark bites were post-mortem
677;08-May-2013;Unprovoked;REUNION;FATAL
678;04-May-2013;Unprovoked;USA;Lacerations to left foot and ankle
679;28-Apr-2013;Provoked;AUSTRALIA;Foot bitten by landed shark PROVOKED INCIDENT
680;24-Apr-2013;Unprovoked;MEXICO;Avulsion injury  to lower right leg
681;21-Apr-2013;Unprovoked;AUSTRALIA;Puncture wounds and lacerations to both legs
682;17-Apr-2013;Unprovoked;USA;Lacerations to right foot
683;14-Apr-2013;Unprovoked;SOUTH AFRICA;"""Light scratch on hand/wrist area"""
684;13-Apr-2013;Unprovoked;USA;Minor lacerations to right hand
685;13-Apr-2013;Unprovoked;GUAM;FATAL
686;10-Apr-2013;Unprovoked;FRENCH POLYNESIA;Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds
687;04-Apr-2013;Unprovoked;USA;Lacerations to hand
688;Reported 02-Apr-2013;Invalid;AUSTRALIA;Disappeared. No evidence that he was taken by a shark
689;02-Apr-2013;Unprovoked;USA;Right thigh bitten
